id;codigo;nombre;restriccion;descripcion
1;migración;Omán drive;override;Turkish
2;generate RAM 24/365;extend Andalucía;Guapa Amarillo Pelota;Avon Ferrocarril
3;1080p Peso;granular;payment;Pollo mesh
4;Bebes feed;payment Barranco Horizontal;invoice monitor;Baleares infraestructura cero
5;JSON;Account;generating;payment Borders Productor
6;Sopa;Pound Sudán Mejorado;Barrio Avon;Avon system
7;deliver Toallas Metal;Guapa Artesanal;Cine Asociado Bacon;Metal
8;Berkshire Gris SMS;back-end;Salud Operaciones Rojo;Ergonómico
9;Riel input;Hogar;Producto revolutionary;niches
10;Poland matrix;compressing Account program;Refinado networks;override deposit
