id;tipo_ingreso;tipo_aspirante;version;modalidad;sede;year;cohorte;estado;promedio_semestre;promedio_acumulado;liquidacion_matricula;estado_pago;situacion_academica;matriculas_id;matriculaa_id
1;Avon;Refinado;deposit killer Polarizado;Directo;scale solución;76438;Ejecutivo Hecho Futuro;Virtual copying;20762;67899;Progresivo Congo amplio;Rojo;extranet Rioja back;1;1
2;streamline functionalities herramientas;Rioja blockchains markets;Mercados platforms Mancha;Austria;Guapo aplicación;12394;virtual Funcionalidad;Dinánmico;6469;31527;web-readiness;Juguetería Public-key rich;e-business Interacciones invoice;2;2
3;Mesa;Metal aggregate;copy mobile;3rd;evolve;868;Camiseta transition;hacking;98384;97395;Sabroso Algodón;program;bleeding-edge intermedia Interno;3;3
4;acceso Facilitador;deposit;Sorprendente Moldavia Directo;Barrio leverage HDD;Multi software Singapore;49662;navigating Pequeño;revolutionary;34776;6052;PNG Informática Partida;Guinea;Borders;4;4
5;Salchichas;invoice 6th Bedfordshire;Cambridgeshire;Creativo Tunisian;vertical;78452;Gris visionary Violeta;USB capacitor jerarquía;45965;64725;JSON Pollo firewall;Regional Gerente;1080p;5;5
6;synergies;plug-and-play XML Central;Morado;Arrabal Mobilidad Rústico;motivadora parsing Distrito;8449;Marroquinería Coordinador paradigms;Futuro Philippine Toallas;50548;77374;fritas;engineer Cataluña programming;Moda SSL migración;6;6
7;Hecho quantifying;Analista;Futuro Algodón;Aragón;Vasco payment Amarillo;52302;harness Blanco Account;Diseñador Camino bluetooth;8634;7338;primary Sorprendente Salud;Salud;Hogar;7;7
8;e-commerce Account;conocimiento;Pollo Mejorado Identidad;Calle e-tailers Inversor;Infraestructura Supervisor;84191;Bricolaje integrated;Borders;23448;72787;6th;Money driver Diverso;Funcionario Bebes online;8;8
9;mesh Pescado;incentivize Genérico;embrace;Refinado;firewall;31415;protocol;panel Mobilidad;65193;83593;Sector Producto Deportes;Escalinata;optical asimétrica Planificador;9;9
10;multitarea JSON;visionary Hormigon;platforms Interfaz;optimize Humano;Masía;187;transmitting;y payment bleeding-edge;25785;69728;Queso;Dollar;Granito;10;10
